Num Samples,Date and Time,Battery Percent,Current Capacity,Full Charged Capacity,Charge Rate,AC Status
0,2022/10/21 10:28,98.57%,40090,40670,0,Offline
1,2022/10/21 10:29,98.01%,39860,40670,-24349,Offline
2,2022/10/21 10:30,97.25%,39550,40670,-21577,Offline
3,2022/10/21 10:31,96.46%,39230,40670,-21754,Offline
4,2022/10/21 10:32,95.21%,38720,40670,-22351,Offline
5,2022/10/21 10:33,94.47%,38420,40670,-19576,Offline
6,2022/10/21 10:34,93.43%,38000,40670,-19783,Offline
