Num Samples,Date and Time,Battery Percent,Current Capacity,Full Charged Capacity,Charge Rate,AC Status
0,2022/10/14 11:23:28,100.00%,40670,40660,0,Online
1,2022/10/14 11:24:28,100.00%,40670,40660,0,Online
