Num Samples,Date and Time,Battery Percent,Current Capacity,Full Charged Capacity,Charge Rate,AC Status
0,2022/10/14 11:20:09,100.00%,40670,40660,0,Online
1,2022/10/14 11:21:09,100.00%,40670,40660,0,Online
2,2022/10/14 11:22:09,100.00%,40670,40660,0,Online
