[2023-09-15 09:36:14,070] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:36:14 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /login/ POST
[2023-09-15 09:36:14,100] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /login/ HTTP/1.1" 302 0
[2023-09-15 09:36:14,158] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /logout/ HTTP/1.1" 302 0
[2023-09-15 09:36:14,198] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4735
[2023-09-15 09:36:14,340] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24142
[2023-09-15 09:37:55,102] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /MQM/MQM_search/ HTTP/1.1" 200 55871
[2023-09-15 09:37:56,151] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 09:37:56,656] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:37:56 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /MQM/MQM_search/ POST
[2023-09-15 09:37:56,671] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /MQM/MQM_search/ HTTP/1.1" 200 106663
[2023-09-15 09:37:59,244] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /logout/ HTTP/1.1" 302 0
[2023-09-15 09:37:59,290] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4735
[2023-09-15 09:37:59,406] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24142
[2023-09-15 09:38:00,748] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:00 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /login/ POST
[2023-09-15 09:38:00,765] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /login/ HTTP/1.1" 302 0
[2023-09-15 09:38:01,581] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /MQM/MQM_search/ HTTP/1.1" 200 55871
[2023-09-15 09:38:01,850] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 09:38:02,591] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:02 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /MQM/MQM_search/ POST
[2023-09-15 09:38:02,611] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /MQM/MQM_search/ HTTP/1.1" 200 106663
[2023-09-15 09:38:05,435] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:05 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /login/ POST
[2023-09-15 09:38:05,449] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /login/ HTTP/1.1" 302 0
[2023-09-15 09:38:05,491] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /logout/ HTTP/1.1" 302 0
[2023-09-15 09:38:05,512] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4735
[2023-09-15 09:38:05,713] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24142
[2023-09-15 09:38:19,889] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 200 24142
[2023-09-15 09:38:20,178] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24142
[2023-09-15 09:38:26,916] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalInfo/ManPower-search/ HTTP/1.1" 302 0
[2023-09-15 09:38:26,979] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4735
[2023-09-15 09:38:27,179] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24142
[2023-09-15 09:38:29,601] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:29 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /login/ POST
[2023-09-15 09:38:29,613] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /login/ HTTP/1.1" 302 0
[2023-09-15 09:38:29,724] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalInfo/ManPower-search/ HTTP/1.1" 200 47839
[2023-09-15 09:38:30,448] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 09:38:30,691] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:30 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/ManPower-search/ POST
[2023-09-15 09:38:30,716] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/ManPower-search/ HTTP/1.1" 200 46979
[2023-09-15 09:38:52,138] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalInfo/PersonalInfo-edit/ HTTP/1.1" 200 118994
[2023-09-15 09:38:53,320] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:53 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-edit/ POST
[2023-09-15 09:38:53,326] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-edit/ HTTP/1.1" 200 681426
[2023-09-15 09:38:53,885] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 47167
[2023-09-15 09:38:54,530] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 09:38:54,843] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 09:38:54 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 09:38:54,861] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 680289
[2023-09-15 10:08:38,654] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 10:08:38 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 10:08:38,665] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13996
[2023-09-15 10:51:17,977] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 10:51:17 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 10:51:17,992] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13996
[2023-09-15 10:56:34,663] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 10:56:34 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 10:56:34,676] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13996
