[2020-12-21 12:27:56,663] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:13,589] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/ HTTP/1.1" 200 5526
[2020-12-21 12:28:13,627] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:13,638] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:19,599] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/ HTTP/1.1" 200 7505
[2020-12-21 12:28:19,632] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:28:19,666] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:19,679] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:20,702] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/8/change/ HTTP/1.1" 200 9588
[2020-12-21 12:28:20,727] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:28:20,758] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:20,781] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:32,592] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /admin/app01/role/8/change/ HTTP/1.1" 302 0
[2020-12-21 12:28:32,647] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/ HTTP/1.1" 200 7690
[2020-12-21 12:28:32,680] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:28:32,744] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:32,762] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:34,932] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/8/change/ HTTP/1.1" 200 9598
[2020-12-21 12:28:34,955] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:28:34,985] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:35,009] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:38,127] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/ HTTP/1.1" 200 7520
[2020-12-21 12:28:38,171] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:38,190] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:39,759] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/add/ HTTP/1.1" 200 9312
[2020-12-21 12:28:39,787] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:28:39,820] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
