[2023-07-26 07:43:55,864] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 58900
[2023-07-26 07:43:57,538] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2023-07-26 07:43:57,545] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2023-07-26 07:43:57,556] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2023-07-26 07:43:57,623] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2023-07-26 07:43:58,167] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-07-26 07:43:58 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /INVGantt/INVGantt-searchByProject/ POST
[2023-07-26 07:43:58,175] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 25812
[2023-07-26 07:43:58,180] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 23410
[2023-07-26 07:44:09,487] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-07-26 07:44:09 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /INVGantt/INVGantt-searchByProject/ POST
[2023-07-26 07:44:09,500] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 26278
[2023-07-26 07:45:34,690] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 59036
[2023-07-26 07:45:34,960] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2023-07-26 07:45:34,962] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2023-07-26 07:45:34,963] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2023-07-26 07:45:34,985] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2023-07-26 07:45:35,158] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 23410
[2023-07-26 07:45:35,165] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-07-26 07:45:35 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /INVGantt/INVGantt-searchByProject/ POST
[2023-07-26 07:45:35,172] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 25812
[2023-07-26 07:45:46,197] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-07-26 07:45:46 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /INVGantt/INVGantt-searchByProject/ POST
