[2023-09-05 16:09:08,499] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-05 16:09:08 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PublicArea/ POST
[2023-09-05 16:09:08,512] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PublicArea/ HTTP/1.1" 200 10612
[2023-09-05 16:10:30,420] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalExperience/Summary/ HTTP/1.1" 200 39695
[2023-09-05 16:10:30,595] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2023-09-05 16:10:30,627] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2023-09-05 16:10:30,802] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2023-09-05 16:10:30,808] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2023-09-05 16:10:31,127] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-05 16:10:32,696] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-05 16:10:32 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-05 16:10:32,715] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 680289
