[2022-08-30 08:22:51,680] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 22933
[2022-08-30 08:22:52,305] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2022-08-30 08:22:52,395] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 42158
[2022-08-30 08:22:52,582] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/admin/simpleui-x/css/index.css.map HTTP/1.1" 200 3250
[2022-08-30 08:22:52,756] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/admin/simpleui-x/waves/waves.min.js.map HTTP/1.1" 200 9739
[2022-08-30 08:22:52,807] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 22933
[2022-08-30 08:22:53,623] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/TestPlanSW/testplansw/ HTTP/1.1" 200 1417682
[2022-08-30 08:22:53,626] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /admin/TestPlanSW/testplansw/ HTTP/1.1" 500 59
[2022-08-30 08:22:53,653] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 200 111553
[2022-08-30 08:22:53,830] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2022-08-30 08:22:53,911] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2022-08-30 08:22:53,994] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2022-08-30 08:22:53,996] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2022-08-30 08:22:54,308] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=first HTTP/1.1" 200 746
[2022-08-30 08:22:54,447] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 22933
[2022-08-30 08:23:08,137] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=getCategory&customer=C38(NB)&project=FLMA0&phase=0 HTTP/1.1" 200 795
[2022-08-30 08:23:12,171] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=getContent&customer=C38(NB)&project=FLMA0&phase=0&category=Accessories%20for%20compatibility%20test%20 HTTP/1.1" 200 14958
[2022-08-30 08:23:24,343] [exception.py:77] [exception:response_for_exception] [ERROR]- Request body exceeded settings.DATA_UPLOAD_MAX_MEMORY_SIZE.
[2022-08-30 08:23:24,384] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 08:23:24,391] [log.py:228] [log:log_response] [WARNING]- Bad Request: /TestPlanSW/TestPlanSW-edit/
[2022-08-30 08:23:24,394] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 400 85385
[2022-08-30 08:23:37,559] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=getContent&customer=C38(NB)&project=FLMA0&phase=0&category=Accessories%20for%20compatibility%20test%20 HTTP/1.1" 200 14958
[2022-08-30 08:25:12,343] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 200 111553
[2022-08-30 08:25:12,466] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2022-08-30 08:25:12,496] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2022-08-30 08:25:12,602] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2022-08-30 08:25:12,605] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2022-08-30 08:25:12,972] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=first HTTP/1.1" 200 746
[2022-08-30 08:25:13,189] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 22933
[2022-08-30 08:25:20,585] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=getCategory&customer=C38(NB)&project=FLMA0&phase=0 HTTP/1.1" 200 795
