[2021-02-24 14:36:02,242] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/R_Borrowed/ HTTP/1.1" 200 3572
[2021-02-24 14:36:05,960] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/BorrowedAdapter/ HTTP/1.1" 200 25040
[2021-02-24 14:36:06,080] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/BorrowedAdapter/ HTTP/1.1" 200 25040
[2021-02-24 14:36:06,348] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/BorrowedAdapter/ HTTP/1.1" 200 3428
[2021-02-24 14:36:08,523] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/BorrowedAdapter/ HTTP/1.1" 200 3428
[2021-02-24 14:36:15,274] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/R_Borrowed/ HTTP/1.1" 200 27030
[2021-02-24 14:36:15,414] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/R_Borrowed/ HTTP/1.1" 200 27030
[2021-02-24 14:36:15,807] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/R_Borrowed/ HTTP/1.1" 200 3572
[2021-02-24 14:36:17,803] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/R_Borrowed/ HTTP/1.1" 200 3572
[2021-02-24 15:55:02,118] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 302 0
[2021-02-24 15:55:02,215] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1821
[2021-02-24 15:55:08,216] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2021-02-24 15:55:08,269] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 12034
[2021-02-24 15:55:15,249] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/pics/ HTTP/1.1" 200 3210
